year,month,ts,fishery,metric,units,value,se
1952,2,1,1,catch,2,173.776,0.01
1952,5,2,1,catch,2,86.85,0.01
1952,8,3,1,catch,2,52.372,0.01
1952,11,4,1,catch,2,205.491,0.01
1953,2,5,1,catch,2,256.04,0.01
1953,5,6,1,catch,2,27.63,0.01
1953,8,7,1,catch,2,11.031,0.01
1953,11,8,1,catch,2,106.777,0.01
1954,2,9,1,catch,2,136.761,0.01
1954,5,10,1,catch,2,49.18,0.01
1954,8,11,1,catch,2,18.917,0.01
1954,11,12,1,catch,2,127.234,0.01
1955,2,13,1,catch,2,237.757,0.01
1955,5,14,1,catch,2,64.764,0.01
1955,8,15,1,catch,2,31.517,0.01
1955,11,16,1,catch,2,211.01,0.01
1956,2,17,1,catch,2,295.344,0.01
1956,5,18,1,catch,2,43.661,0.01
1956,8,19,1,catch,2,27.177,0.01
1956,11,20,1,catch,2,246.468,0.01
1957,2,21,1,catch,2,304.471,0.01
1957,5,22,1,catch,2,43.871,0.01
1957,8,23,1,catch,2,25.771,0.01
1957,11,24,1,catch,2,238.272,0.01
1958,2,25,1,catch,2,332.461,0.01
1958,5,26,1,catch,2,92.868,0.01
1958,8,27,1,catch,2,64.784,0.01
1958,11,28,1,catch,2,279.961,0.01
1959,2,29,1,catch,2,355.064,0.01
1959,5,30,1,catch,2,85.573,0.01
1959,8,31,1,catch,2,70.833,0.01
1959,11,32,1,catch,2,279.532,0.01
1960,2,33,1,catch,2,522.983,0.01
1960,5,34,1,catch,2,133.805,0.01
1960,8,35,1,catch,2,41.887,0.01
1960,11,36,1,catch,2,243.78,0.01
1961,2,37,1,catch,2,308.181,0.01
1961,5,38,1,catch,2,105.236,0.01
1961,8,39,1,catch,2,31.512,0.01
1961,11,40,1,catch,2,152.999,0.01
1962,2,41,1,catch,2,273.742,0.01
1962,5,42,1,catch,2,136.071,0.01
1962,8,43,1,catch,2,30.25,0.01
1962,11,44,1,catch,2,147.522,0.01
1963,2,45,1,catch,2,351.147,0.01
1963,5,46,1,catch,2,127.461,0.01
1963,8,47,1,catch,2,27.415,0.01
1963,11,48,1,catch,2,163.598,0.01
1964,2,49,1,catch,2,201.919,0.01
1964,5,50,1,catch,2,115.762,0.01
