year,month,ts,fishery,bin,value,week
1988,5,146,8,10,0,1
1988,5,146,8,12,0,1
1988,5,146,8,14,0,1
1988,5,146,8,16,0,1
1988,5,146,8,18,0,1
1988,5,146,8,20,0,1
1988,5,146,8,22,0,1
1988,5,146,8,24,0,1
1988,5,146,8,26,0,1
1988,5,146,8,28,0,1
1988,5,146,8,30,0,1
1988,5,146,8,32,1.01861462329638,1
1988,5,146,8,34,1.76922568999014,1
1988,5,146,8,36,0,1
1988,5,146,8,38,0,1
1988,5,146,8,40,0.750611066693765,1
1988,5,146,8,42,2.52402970575513,1
1988,5,146,8,44,6.55766744304024,1
1988,5,146,8,46,9.19502521522349,1
1988,5,146,8,48,14.2689582199438,1
1988,5,146,8,50,26.2948443072458,1
1988,5,146,8,52,28.5554928891932,1
1988,5,146,8,54,23.3403849532702,1
1988,5,146,8,56,25.3003535696182,1
1988,5,146,8,58,13.1920855372431,1
1988,5,146,8,60,13.5396288306138,1
1988,5,146,8,62,3.76982712975371,1
1988,5,146,8,64,1.50541508245875,1
1988,5,146,8,66,3.33759226783837,1
1988,5,146,8,68,0,1
1988,5,146,8,70,0,1
1988,5,146,8,72,0,1
1988,5,146,8,74,0,1
1988,5,146,8,76,0,1
1988,5,146,8,78,0,1
1988,5,146,8,80,0,1
1988,5,146,8,82,0,1
1988,5,146,8,84,0,1
1988,5,146,8,86,0,1
1988,5,146,8,88,0,1
1988,5,146,8,90,0,1
1988,5,146,8,92,0,1
1988,5,146,8,94,0,1
1988,5,146,8,96,0,1
1988,5,146,8,98,0,1
1988,5,146,8,100,0,1
1988,5,146,8,102,0,1
1988,5,146,8,104,0,1
1988,5,146,8,106,0,1
1988,5,146,8,108,0,1
1988,5,146,8,110,0,1
1988,5,146,8,112,0,1
1988,5,146,8,114,0,1
1988,5,146,8,116,0,1
1988,5,146,8,118,0,1
1988,5,146,8,120,0,1
1988,5,146,8,122,0,1
1988,5,146,8,124,0,1
1988,5,146,8,126,0,1
1988,5,146,8,128,0,1
1988,5,146,8,130,0,1
1988,5,146,8,132,0,1
1988,5,146,8,134,0,1
1988,5,146,8,136,0,1
1988,5,146,8,138,0,1
1988,5,146,8,140,0,1
1988,5,146,8,142,0,1
1988,5,146,8,144,0,1
1988,5,146,8,146,0,1
1988,5,146,8,148,0,1
1988,5,146,8,150,0,1
1988,5,146,8,152,0,1
1988,5,146,8,154,0,1
1988,5,146,8,156,0,1
1988,5,146,8,158,0,1
1988,5,146,8,160,0,1
1988,5,146,8,162,0,1
1988,5,146,8,164,0,1
1988,5,146,8,166,0,1
1988,5,146,8,168,0,1
1988,5,146,8,170,0,1
1988,5,146,8,172,0,1
1988,5,146,8,174,0,1
1988,5,146,8,176,0,1
1988,5,146,8,178,0,1
1988,5,146,8,180,0,1
1988,5,146,8,182,0,1
1988,5,146,8,184,0,1
1988,5,146,8,186,0,1
1988,5,146,8,188,0,1
1988,5,146,8,190,0,1
1988,5,146,8,192,0,1
1988,5,146,8,194,0,1
1988,5,146,8,196,0,1
1988,5,146,8,198,0,1
1988,8,147,8,10,0,1
1988,8,147,8,12,0,1
1988,8,147,8,14,0,1
1988,8,147,8,16,0,1
1988,8,147,8,18,0,1
1988,8,147,8,20,0,1
1988,8,147,8,22,0,1
1988,8,147,8,24,0,1
1988,8,147,8,26,0,1
1988,8,147,8,28,0,1
1988,8,147,8,30,0,1
1988,8,147,8,32,0,1
1988,8,147,8,34,0,1
1988,8,147,8,36,0,1
1988,8,147,8,38,0.775264796535018,1
1988,8,147,8,40,0.0741789112691665,1
1988,8,147,8,42,5.31169023090464,1
1988,8,147,8,44,25.8737064107801,1
1988,8,147,8,46,21.4645608517443,1
1988,8,147,8,48,61.4868147217686,1
1988,8,147,8,50,73.4076296665355,1
1988,8,147,8,52,64.0461947306135,1
