id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
04-start-1952,1,F01_LL.JP.1,1979.25,yes,SIZE,1,67.6382500862647
04-start-1952,1,F01_LL.JP.1,1989.125,yes,SIZE,1,58.7609488119106
04-start-1952,2,F02_LL.JP.2,1979.125,yes,SIZE,1,91.971887639012
04-start-1952,2,F02_LL.JP.2,1979.25,yes,SIZE,1,91.1557856412076
04-start-1952,2,F02_LL.JP.2,1979.375,yes,SIZE,1,90.0795912196531
04-start-1952,2,F02_LL.JP.2,1979.5,yes,SIZE,1,90.1448327344403
04-start-1952,2,F02_LL.JP.2,1980.25,yes,SIZE,1,89.4725600785856
04-start-1952,2,F02_LL.JP.2,1980.375,yes,SIZE,1,88.6437392343492
04-start-1952,2,F02_LL.JP.2,1980.5,yes,SIZE,1,89.1824554673966
04-start-1952,2,F02_LL.JP.2,1981.375,yes,SIZE,1,89.2289123671684
04-start-1952,2,F02_LL.JP.2,1981.5,yes,SIZE,1,89.6233460193284
04-start-1952,2,F02_LL.JP.2,1982.125,yes,SIZE,1,90.2251788633562
04-start-1952,2,F02_LL.JP.2,1982.25,yes,SIZE,1,89.4010986172033
04-start-1952,2,F02_LL.JP.2,1982.375,yes,SIZE,1,88.3302836955334
04-start-1952,2,F02_LL.JP.2,1982.5,yes,SIZE,1,88.3295693418645
04-start-1952,2,F02_LL.JP.2,1983.375,yes,SIZE,1,88.4558384079349
04-start-1952,2,F02_LL.JP.2,1983.5,yes,SIZE,1,89.1942675406338
04-start-1952,2,F02_LL.JP.2,1984.125,yes,SIZE,1,90.1071465224645
04-start-1952,2,F02_LL.JP.2,1984.375,yes,SIZE,1,88.4137771010698
04-start-1952,2,F02_LL.JP.2,1984.5,yes,SIZE,1,88.8079213333088
04-start-1952,2,F02_LL.JP.2,1985.375,yes,SIZE,1,90.0730493029923
04-start-1952,2,F02_LL.JP.2,1985.5,yes,SIZE,1,90.4997326355211
04-start-1952,2,F02_LL.JP.2,1986.375,yes,SIZE,1,89.6278116407014
04-start-1952,2,F02_LL.JP.2,1986.5,yes,SIZE,1,89.9239910577292
04-start-1952,2,F02_LL.JP.2,1987.25,yes,SIZE,1,91.2010531162432
04-start-1952,2,F02_LL.JP.2,1987.375,yes,SIZE,1,90.8042849104285
04-start-1952,2,F02_LL.JP.2,1988.125,yes,SIZE,1,91.5441383148888
04-start-1952,2,F02_LL.JP.2,1988.375,yes,SIZE,1,87.0076333173587
04-start-1952,2,F02_LL.JP.2,1988.5,yes,SIZE,1,86.9956251743675
04-start-1952,2,F02_LL.JP.2,1989.25,yes,SIZE,1,85.4850120868285
04-start-1952,2,F02_LL.JP.2,1989.375,yes,SIZE,1,83.4291829319137
04-start-1952,2,F02_LL.JP.2,1990.375,yes,SIZE,1,85.5325046094789
04-start-1952,2,F02_LL.JP.2,1990.5,yes,SIZE,1,86.4712409622765
04-start-1952,2,F02_LL.JP.2,1991.125,yes,SIZE,1,87.8084631946348
04-start-1952,2,F02_LL.JP.2,1994.25,yes,SIZE,1,88.2894819595793
04-start-1952,3,F03_LL.JP.3,1979.25,yes,SIZE,1,88.0806768118575
04-start-1952,3,F03_LL.JP.3,1979.375,yes,SIZE,1,87.4716418686866
04-start-1952,3,F03_LL.JP.3,1981.375,yes,SIZE,1,86.7194615561718
04-start-1952,3,F03_LL.JP.3,1982.125,yes,SIZE,1,87.5701313784612
04-start-1952,3,F03_LL.JP.3,1982.25,yes,SIZE,1,86.2536206592469
04-start-1952,3,F03_LL.JP.3,1983.125,yes,SIZE,1,86.4243656949828
04-start-1952,3,F03_LL.JP.3,1983.25,yes,SIZE,1,85.8041043826623
04-start-1952,3,F03_LL.JP.3,1983.375,yes,SIZE,1,85.9617305782929
04-start-1952,3,F03_LL.JP.3,1984.25,yes,SIZE,1,86.3306397855811
04-start-1952,3,F03_LL.JP.3,1985.25,yes,SIZE,1,87.761535871454
04-start-1952,3,F03_LL.JP.3,1985.375,yes,SIZE,1,87.7024341619513
04-start-1952,3,F03_LL.JP.3,1987.125,yes,SIZE,1,88.7093259984691
04-start-1952,3,F03_LL.JP.3,1987.375,yes,SIZE,1,88.438712091348
04-start-1952,3,F03_LL.JP.3,1988.25,yes,SIZE,1,85.7992090323383
04-start-1952,3,F03_LL.JP.3,1988.375,yes,SIZE,1,84.0716121308975
04-start-1952,3,F03_LL.JP.3,1989.25,yes,SIZE,1,81.6941842258199
