id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
04-start-1952,15,S01_INDEX.1-4,1979.83,1.86281,1.24365,0.523979,0.404033,1
04-start-1952,15,S01_INDEX.1-4,1980.83,1.31391,1.51105,0.523317,-0.139795,1
04-start-1952,15,S01_INDEX.1-4,1981.83,1.2559,1.42004,0.523402,-0.122832,1
04-start-1952,15,S01_INDEX.1-4,1982.83,1.50646,1.12945,0.517153,0.288033,1
04-start-1952,15,S01_INDEX.1-4,1983.83,0.922278,1.10311,0.52108,-0.17904,1
04-start-1952,15,S01_INDEX.1-4,1984.83,1.32673,1.06685,0.51412,0.218008,1
04-start-1952,15,S01_INDEX.1-4,1985.83,0.877509,0.975466,0.512722,-0.105828,1
04-start-1952,15,S01_INDEX.1-4,1986.83,0.855618,0.927607,0.526053,-0.0807838,1
04-start-1952,15,S01_INDEX.1-4,1987.83,0.835362,0.836233,0.536613,-0.00104179,1
04-start-1952,15,S01_INDEX.1-4,1988.83,0.736157,0.838298,0.548397,-0.129931,1
04-start-1952,15,S01_INDEX.1-4,1989.83,1.65752,0.835552,0.511416,0.684985,1
04-start-1952,15,S01_INDEX.1-4,1990.83,1.13159,0.849022,0.527422,0.287294,1
04-start-1952,15,S01_INDEX.1-4,1991.83,1.02708,0.890847,0.536473,0.142303,1
04-start-1952,15,S01_INDEX.1-4,1992.83,0.558306,1.05863,0.575191,-0.639823,1
04-start-1952,15,S01_INDEX.1-4,1993.83,0.81207,1.15052,0.539697,-0.348382,1
04-start-1952,15,S01_INDEX.1-4,1994.83,1.12053,1.08628,0.53193,0.0310423,1
04-start-1952,15,S01_INDEX.1-4,1995.83,1.11373,1.11484,0.549242,-0.000995909,1
04-start-1952,15,S01_INDEX.1-4,1996.83,1.1907,1.07182,0.532667,0.105186,1
04-start-1952,15,S01_INDEX.1-4,1997.83,1.31626,1.2663,0.538998,0.0386943,1
04-start-1952,15,S01_INDEX.1-4,1998.83,1.99334,1.56809,0.519467,0.239951,1
04-start-1952,15,S01_INDEX.1-4,1999.83,1.18608,1.5578,0.560247,-0.272621,1
04-start-1952,15,S01_INDEX.1-4,2000.83,0.788006,1.69918,0.574838,-0.768393,1
04-start-1952,15,S01_INDEX.1-4,2001.83,0.727835,1.62614,0.571019,-0.803892,1
04-start-1952,15,S01_INDEX.1-4,2002.83,0.803887,1.4716,0.552375,-0.60465,1
04-start-1952,15,S01_INDEX.1-4,2003.83,1.3191,1.24501,0.535812,0.0578059,1
04-start-1952,15,S01_INDEX.1-4,2004.83,1.26325,1.12582,0.539745,0.115177,1
04-start-1952,15,S01_INDEX.1-4,2005.83,1.04284,1.24471,0.555266,-0.176959,1
04-start-1952,15,S01_INDEX.1-4,2006.83,0.740614,1.30052,0.56539,-0.563037,1
04-start-1952,15,S01_INDEX.1-4,2007.83,0.829133,1.39155,0.554383,-0.517792,1
04-start-1952,15,S01_INDEX.1-4,2008.83,1.047,1.30812,0.552237,-0.222661,1
04-start-1952,15,S01_INDEX.1-4,2009.83,0.645173,1.2621,0.570791,-0.671018,1
04-start-1952,15,S01_INDEX.1-4,2010.83,0.790723,1.10413,0.567114,-0.333863,1
04-start-1952,15,S01_INDEX.1-4,2011.83,0.722675,0.863892,0.571027,-0.178488,1
04-start-1952,15,S01_INDEX.1-4,2012.83,0.69595,0.646788,0.575333,0.0732587,1
04-start-1952,15,S01_INDEX.1-4,2013.83,0.717588,0.64587,0.579687,0.105297,1
04-start-1952,15,S01_INDEX.1-4,2014.83,0.790042,0.583634,0.575679,0.302812,1
04-start-1952,15,S01_INDEX.1-4,2015.83,0.78514,0.500909,0.577051,0.449438,1
04-start-1952,15,S01_INDEX.1-4,2016.83,0.687733,0.49454,0.571492,0.329773,1
04-start-1952,15,S01_INDEX.1-4,2017.83,0.591417,0.504523,0.557913,0.158908,1
04-start-1952,15,S01_INDEX.1-4,2018.83,0.724244,0.530805,0.567553,0.310733,1
04-start-1952,15,S01_INDEX.1-4,2019.83,0.794833,0.453158,0.552768,0.561891,1
04-start-1952,15,S01_INDEX.1-4,2020.83,0.742562,0.443226,0.563178,0.516027,1
04-start-1952,15,S01_INDEX.1-4,2021.83,1.23811,0.550133,0.548316,0.811181,1
04-start-1952,15,S01_INDEX.1-4,2022.83,0.912191,0.688543,0.574636,0.281272,1
