id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
01-bet-base,8,F08_PS.ASS,yes,LEN,1,20,0.00405512985551928,0.000170847681334787,0.00388428217418449,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,30,0.0660280051888497,0.0251693476995529,0.0408586574892968,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,40,0.304302668989382,0.391005322687675,-0.0867026536982932,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,50,0.337459585700206,0.473858393051312,-0.136398807351105,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,60,0.160862357708583,0.105562155501124,0.0553002022074585,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,70,0.0624019377093814,0.00367940044558709,0.0587225372637943,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,80,0.0356683922323368,8.52763189017521e-05,0.035583115913435,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,90,0.0173438205400603,6.87364388490478e-05,0.0172750841012113,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,100,0.00724771088329231,5.91574269508859e-05,0.00718855345634142,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,110,0.00246168046188426,4.92681944509679e-05,0.00241241226743329,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,120,0.0010423953716674,4.26323650666728e-05,0.000999763006600727,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,130,0.000458147473562623,3.57785642960354e-05,0.000422368909266588,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,140,0.000366564759393494,2.64265901063239e-05,0.00034013816928717,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,150,0.000122957066018767,1.62078723582558e-05,0.000106749193660511,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,160,1.9716600610932e-05,7.96893206271478e-06,1.17476685482172e-05,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,170,9.01634361869463e-06,3.05303857378395e-06,5.96330504491069e-06,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,180,5.56154542873499e-06,8.89063666524783e-07,4.67248176221021e-06,6145.82996,0,18.75451358
01-bet-base,8,F08_PS.ASS,yes,LEN,1,190,4.86042987462407e-06,2.27301272832935e-07,4.63312860179113e-06,6145.82996,0,18.75451358
01-bet-base,9,F09_PS.UNA,yes,LEN,1,20,0.0030436501944424,0.00284751287972051,0.000196137314721893,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,30,0.0322627665857433,0.0293446070437766,0.00291815954196665,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,40,0.179891976898345,0.123670677547811,0.0562212993505332,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,50,0.338042672305716,0.21893739932646,0.119105272979256,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,60,0.230547533053124,0.215377389304184,0.0151701437489397,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,70,0.0898016999033541,0.167679080447293,-0.0778773805439391,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,80,0.0509027223838515,0.115986362799542,-0.0650836404156901,4290.74626,0,1.66045223
01-bet-base,9,F09_PS.UNA,yes,LEN,1,90,0.0303201386851033,0.0696285902502763,-0.0393084515651731,4290.74626,0,1.66045223
